id,userId,title,description,notes,completed,priority,dueDate,category,tags,subtasks,globalPosition,createdAt,updatedAt
task_1760545875618_8l210qhjn,eac26eeb-8950-418c-8be7-eba03ad606ec,"slides durchgehen","","",false,false,2025-10-15,,"[]","[]",1760545875618,2025-10-15T16:31:15.618+00:00,2025-10-15T16:31:15.618+00:00
task_1760545865267_vahidz1k2,eac26eeb-8950-418c-8be7-eba03ad606ec,"Tela mit Anneso","","",false,false,2025-10-15,,"[]","[]",1760545865267,2025-10-15T16:31:05.267+00:00,2025-10-15T16:31:05.267+00:00
task_1760545679956_2dwzgh1p6,eac26eeb-8950-418c-8be7-eba03ad606ec,"Freitag Tim und Whatsapp Gruppe","","",false,false,2025-10-17,,"[]","[]",1760545679956,2025-10-15T16:27:59.956+00:00,2025-10-15T16:27:59.956+00:00
task_1760545566984_8wb8hf71z,eac26eeb-8950-418c-8be7-eba03ad606ec,"Freitag calls zu Workshop Inhalten Webinare","","",false,false,2025-10-17,,"[]","[]",2025101704,2025-10-15T16:26:06.984+00:00,2025-10-15T16:28:17.71536+00:00
task_1759928339325_pascal_fragen_ob_mon,eac26eeb-8950-418c-8be7-eba03ad606ec,"Pascal fragen ob Montag oder Dienstag schon mal 30 min vorbei für Dinge checken geht, wenn es geht Termin mit Fabian ausmachen","","",true,false,2025-10-09,Check24,"[]","[]",2600,2025-10-08T12:58:59.325+00:00,2025-10-09T14:04:07.8+00:00
task_1759928104997_3_alte_kontakte_auf_,eac26eeb-8950-418c-8be7-eba03ad606ec,"3 alte Kontakte auf LinkedIn anschreiben","","",true,false,2025-10-09,,"[]","[]",2500,2025-10-08T12:55:04.997+00:00,2025-10-09T14:04:03.898+00:00
task_1759913089441_werk1,eac26eeb-8950-418c-8be7-eba03ad606ec,"werk1 0/2","","",false,false,2025-10-20,Business,"[]","[]",4200,2025-10-08T08:44:49.441+00:00,2025-10-15T16:30:15.090762+00:00
task_1759912910535_linkedin_und_5_alte_,eac26eeb-8950-418c-8be7-eba03ad606ec,"LinkedIn und 5 alte und neue Sales Kontakte","","",true,false,2025-10-08,Business,"[]","[]",2100,2025-10-08T08:41:50.535+00:00,2025-10-09T14:04:00.698+00:00
task_1759912879200_todolist_mit_meinem_,eac26eeb-8950-418c-8be7-eba03ad606ec,"Todolist mit meinem chatfirst prompt","","",true,false,2025-10-08,,"[]","[]",1600,2025-10-08T08:41:19.2+00:00,2025-10-09T14:03:49.948+00:00
task_1759905581214_stefna_neuen_termin_,eac26eeb-8950-418c-8be7-eba03ad606ec,"Stefna neuen Termin senden","","",true,false,2025-10-08,,"[]","[]",2200,2025-10-08T06:39:41.214+00:00,2025-10-09T14:04:01.931+00:00
